invocation,cmd
A random directory name,echo $(shuf -n 1 -e $(echo */) | tr -d '/')
"Split the input using comma (,) as the field separator and set the output field separator to comma (,). For each field, remove leading and trailing whitespace and randomly convert the field to either upper or lower case. Print the result.","awk -F, -v OFS=',' '{for (i=1;i<=NF;i++) {sub(/^[ \t\r\n]+|[ \t\r\n]+$/,"""",$i); $i=(rand()<0.5)?toupper($i):tolower($i)}; print}'"
"Send a request to the website 'http://www.random.org/strings/' with the user agent ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"", accept header ""application/json"", and parameters ""num=1, len=32, digits=on, upperalpha=on, loweralpha=on, unique=on, format=plain, rnd=new"". Then, remove all characters except for alphanumeric characters and fold the result into 16 character strings. Finally, take the first string from the result.","curl -A ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"" -H ""Accept: application/json"" 'http://www.random.org/strings/?num=1&len=32&digits=on&upperalpha=on&loweralpha=on&unique=on&format=plain&rnd=new' | tr -dc ""[:alpha:][:digit:]"" | fold -w 16 | head -n 1"
Randomly shuffle the contents of each file in the current directory and output one line from each file.,shuf -z -en 1 `ls -1`
Print the first line of a randomly sorted list of environment variables.,env | sort -R | head -n 1;
Print the current Unix timestamp in nanoseconds.,echo $(date +%s%N);
List the contents of a randomly generated 16 character string directory with the -F flag.,ls -F $(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 16 | head -n 1)
Find all files with the extension ".deb" in the directory "/var/lib/apt" and execute the command "cat" on each of them.,find /var/lib/apt -type f -name "*.deb" -exec cat {} \;
Replace all numbers in file.txt with the string '&@&'.,sed -e 's/[0-9]\+/\&@\&/g' file.txt
Randomly select a number between 1 and 10 and then echo the contents of the file with the name "file[selected number]_text.txt".,shuf -i 1-10 -n 1 | xargs -I % echo cat file%_text.txt
Randomly sort the output of the command "$RANDOM" and display the first line.,sort -R <(echo "$RANDOM") | head -1
Find all files (type f) and execute the command 'sed -i 's/foo/bar/' {}' on each of them.,find . -type f -exec sed -i 's/foo/bar/' {} \;
V6Xy3Xy6Xy3Xy6Xy3Xy6Xy3Xy6Xy3,echo $(echo -e "$(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 32 | head -n 1)")
Remove a file with a randomly generated 8 character name composed of letters and numbers from the current directory.,rm $(cat /dev/urandom | tr -dc A-Za-z0-9 | head -c 8).txt
&^%_+-="<>Xy6q3V2f5K1G8Z7R9m4T0aJ,echo $(cat /dev/urandom | tr -dc 'A-Za-z0-9_+-="<>&^%' | fold -w 32 | head -n 1)
Print a random alphanumeric string of a random length between 1 and 1000 characters.,shuf -i 1-1000 -n 1 | xargs -I {} echo "echo $(cat /dev/urandom | tr -dc '[:alnum:]' | head -c {})"
"Find a file in the current directory, sort the results randomly, and display the first one.",find ./ -type f | sort -R | head -1
"Find all files in the current directory that were modified more than 7 days ago and print their names, replacing all characters except '>' with '?'.",find ~/* -mtime +7 -print | sed 's/[^\>]/\?/g'
Find all files with the extension .css in the /var/www directory and change the permissions to 640 for each of them.,find /var/ www -name "*.css" -exec chmod 640 {} \;
"Randomly select one number between 1 and 1000, then list all the files in the current working directory, and compress them into a tar file.",shuf -i 1-1000 -n 1 | xargs ls $(pwd) | xargs tar -czvf
Copy the first randomly sorted file with a name containing three numbers and at least one letter to the Desktop directory.,cp $(ls -R | grep -E '[a-z][0-9]{3}' | sort -R | head -n 1) ~/Desktop/
"Send a request to the website ""random.org"" to generate 10 strings of 8 characters each, containing both upper and lower case letters and digits, and return the strings in plain text format.",curl https://www.random.org/strings/?num=10\&len=8\&digits=on\&upperalpha=on\&loweralpha=on\&unique=on\&format=plain
Replace any number with two decimal places in the file "file.txt" with a zero followed by the two decimal places.,sed 's/\([0-9]\.[0-9]\)\([0-9]\)/0\1\2/' file.txt
Find all files with the extension ".ext" and execute the command "grep -l" to search for the string "string" in each of those files.,find . -name "*.ext" -exec grep -l "string" {} \;
Search the entire file system for files containing the character '$' and execute the command 'grep' on each file.,find / -exec grep '\$' {} \;
Find all files with a ".txt" extension and delete them.,find -name ' *.txt' | xargs rm
Search the entire file system for files with the extension ".txt" and find all files containing the string "pattern".,find / -name "*.txt" | xargs grep -rl 'pattern'
Replace the contents of the /etc/hosts file with the original contents followed by /bin/sh -c "$(( RANDOM ))".,sudo sed -i 's@\(.*\)@\1 /bin/sh -c "$(( RANDOM ))"@' /etc/hosts
"Send a request to the website ""randomtextgenerator.com"", take the second word of each line, remove any punctuation, and then echo each word.","curl http://www.randomtextgenerator.com | awk '$0=$2' | sed 's/[;:,.]//g' | xargs -I {} echo ""echo {}"" | sh"
Randomly select one executable file from the current directory.,shuf -n 1 $(find . -type f -executable)
Find all files in the current directory (denoted by ~/*) whose name ends with ".jpg" (denoted by -iname '*.jpg') and copy them to the location specified by the output of the command "grep -F -r $RANDOM /etc/" (denoted by $(grep -F -r $RANDOM /etc/ | awk '{print $1}')).,find ~/* -iname '*.jpg' | xargs -I {} cp {} $(grep -F -r $RANDOM /etc/ | awk '{print $1}')
"Print a random string of 24 characters from /dev/urandom, sorted in a random order.",cat <(sort -R /dev/urandom | head -c 24)
Find all files (-type f) and pass them to the command 'shuf -e' one at a time (-n1) with the placeholder {}.,find * -type f | xargs -i -n1 shuf -e {} \;
Sort the output of the command "ls -la" and exclude any lines that start with "d".,sort <(ls -la) | grep -v "^d"
Find all files with the extension ".txt" in the entire file system and delete them.,find / -name *.txt -exec rm -rf {} \;
Print the first 100 characters of random alphanumeric characters from the /dev/urandom file.,printf "$(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 100 | head -n 1)\n"
V6X3X3X3X2,echo $(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 10 | head -n 1)
"Randomly sort the contents of the file /dev/urandom, take the first 10 characters and remove any new line characters.",sort -R /dev/urandom | head -c 10 | tr -d "\n"
Find all files with the extension .txt in the current directory and its subdirectories and execute the command 'grep "Foo"' on each of them.,find ./ -name *.txt -exec grep "Foo" {} +;
Find all files with the extension ".sh" and add execute permission for the user for those files.,find -name "*.sh" | xargs chmod u+x
"Take the first line of the file /dev/urandom, convert it to only contain alphanumeric characters (A-Z, a-z, 0-9), fold it to a length of 64 characters, and take the first line of the result.",head -n 1 /dev/urandom | tr -dc 'A-Za-z0-9' | fold -w 64 | head -n1
Randomly select a number between 20 and 200 and move the file named "file[selected number].txt" to the directory "dest/".,shuf -i 20-200 -n 1 | awk '{print "mv -rvf file"$1".txt dest/"}'
Search in the /var/log directory for all files and exclude any results containing the string "mod_ssl.c".,find /var/log -type f | xargs grep -v mod_ssl.c
Copy a random number of files from the /data/src/ directory to the dest/ directory.,awk 'BEGIN{ print int(rand()*100) }' | xargs -I{} cp -r /data/src/{} dest/
Find all files in the current directory (denoted by ~) and delete them using the 'rm -f' command.,find ~/* -type f -noleaf | xargs rm -f
Remove all lowercase letters from infile.txt and replace all non-alphabetic characters with a space in outfile.txt.,sed -r 's/[a-z]+//gi;s/[^a-z]/&\ /g' \< infile.txt\ \> outfile.txt
Print a random shuffled list of the numbers 1 to 100.,echo $(xargs -d\n -L1 shuf <(printf '%s\n' {1..100}))
Find all files with the extension ".txt" in the "/" directory and execute the command "sed 's/[0-9]/{}/g'" on each of them.,/usr/bin/find / -name "*.txt" -exec sed 's/[0-9]/{}/g' \;
"Search the /etc/passwd file for the process ID that is randomly selected from the list of all process IDs, and display the 4 lines after it, excluding any lines that contain an equals sign (=).",grep -A 4 -v "=" $(ps -A | cut -d ' ' -f1 | sort -R | head -1) /etc/passwd
"Create a command that will generate a random directory name and create it:
mkdir -p $(echo $(rand) | head -n 1);","awk 'BEGIN {for(i=1;i<78;i++){if(rand()>.5){printf ""mkdir -p %s;"",rand()}}}' | head -n 1"
Search for all files with the extension ".txt" in the "/usr/lib" directory and search for the word "random" in each of those files.,find /usr/lib -name \*.txt | xargs grep "random"
"Find a file with the extension "".py"" and sort the results randomly, then display the first one.",find -name '*.py' | sort -R | head -n 1
Find all files with the extension .txt in the root directory and replace all tab characters with spaces in each file.,find -P / -name '*.txt' -exec sed -i 's/[\t]/ /g' {} +
Display the contents of a randomly selected file in the current directory.,cat $(ls -1 $RANDOM | head -n 1)
Randomly select a number between 100 and 10000 and search for the pattern in the file named filename.txt.,shuf -i 100-10000 -n 1 | xargs grep 'pattern' filename.txt
Find all files with the extension .txt and execute the command to replace all occurrences of "oldword" with "newword" in each file.,find . -name "*.txt" -exec sed -i 's/oldword/newword/g' {} \;
Find all files with the extension ".jpg" and change their permissions to 644.,find -name ".jpg" -exec chmod 644 {} \;
"From the /etc/passwd file, extract the first and second fields separated by a comma, replace the colon with a comma, and sort the output in a unique manner based on the second field.","cut -d',' -f1,2 /etc/passwd | tr ':' ',' | sort -u -t, -k2,2"
"Find a file in the home directory with a name ending in .jpg, .jpeg, .gif, .png, or .pdf, then sort the results randomly and display the last one.",find ~/ -iregex '.*\.\(jpe?g\|gif\|png\|pdf\)$' |sort -R |tail -1
Replace all five-character strings of numbers and letters with a randomly generated seven-character string of numbers and letters in the file.,sed -i "s/[0-9a-f]\{5\}/$(cat /dev/urandom | tr -dc 'a-zP-Z0-9' | fold -w 7 | head -n1)/g"
"Find all files with the extension "".log"" in the ""/var/log/"" directory that have been modified in the last 10 minutes, display their size in human readable format and sort them by size.",find /var/log/ -mmin -10 -type f -iname '*.log' -exec du -h {} \; | sort -h
Find all files in the root directory and copy them to a temporary file.,find / -type f -exec cp {} $(mktemp) \;
"Find all files in the current directory (and its subdirectories) whose name ends with "".tmp"" and delete them, asking for confirmation before each deletion.",find ./ -iname '*.tmp' -exec rm -i {} \;
"Find all PDF files in the current directory and its subdirectories, and give the group execute permission for each file.",find -maxdepth 2 -iname '*.pdf' -exec chmod g+x {} \;
Find the largest file in the entire file system and display its size in bytes.,find / -type f -exec ls -s {} \; | sort -n -r | head -n 1
Find all files in the current directory and execute the wget command on each of them quietly.,find . -type f -exec wget -q {} \;
Hey there number <random number between 1 and 100>,shuf -i 1-100 -n 1 | xargs echo 'Hey there number'
printf "expr %.1f * 3.5\n" $(seq 0.0 1.0 | shuf -n 1),seq 0.0 1.0 | shuf -n 1 | xargs printf "expr %.1f \\* 3.5\n"
"Find all files with the extension "".sh"" in the entire file system, that are not readable, and make them executable for all users.",find / -type f -iname "*.sh" ! -readable -exec chmod a+x {} \;
"Find all files with the extension .txt in the current directory and its subdirectories, and move them to the /home/user/ directory.",find $(pwd) -maxdepth 2 -type f -name "*.txt" -exec mv {} /home/user/ \;
Find all files in the home directory and delete lines 4 to 6 from each file.,"find $(echo ~) -type f -exec sed -i """" 4,6d {} \;"
V6X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X,echo "$(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 256 | head -n 1)"
"Find all files (type f) with a name that contains 32 characters (0-9a-f) followed by a period and either jpg, gif, or png.",find . -type f -iregex '.*/[0-9a-f]\{32\}\.\(jpg\|gif\|png\)'
"Find all files, sort them randomly, and list them in long format with the most recently modified files first.",find | sort -R | xargs ls -clt
Find all files (regardless of case) with any extension in the current directory and move them to the home directory.,find . -iname '*.*' -type f -exec mv -t $HOME {} +
Unzip the file with the random 8 character name generated from the combination of alphanumeric characters.,tar -zxf $(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 8 | head -n 1).tar.gz
Randomly select one of the paths of the 'ls' command and display the first line of the output.,shuf -e $(which ls) | head -n 1
"Find a file in the current directory, randomly shuffle the list of files, and print the first one.",find . -maxdepth 1 -print | shuf | head -1
Find all files with the extension ".txt" in the current working directory and replace all occurrences of "foo" with "bar" in those files.,find $(pwd) -name "*.txt" | xargs sed -i 's/foo/bar/g'
"Find all files in the home directory modified in the last 5 days, excluding those with size 0, and move them to the /tmp directory.",`find ~ -mtime -5 ! -size 0 -exec mv {} /tmp \;`
"Read from the /dev/urandom file and output only characters from a-z, A-Z, 0-9, and special characters. Then fold the output to 21 characters wide and output only the first line.","cat /dev/urandom | tr -dc 'a-zA-Z0-9-""!#$%&'\''()*+,-./:;<=>?@[\]^_`{|}~' | fold -w 21 | head -n 1"
Find all files ending with .log that were modified more than one day ago and create a symbolic link for each of them with the same name followed by _OLD.,find . -name '*.log' -mtime +1 -exec ln -sf '{}' {}'_OLD' \;
"Find all files in the current directory, pass them to xargs, remove all newline characters, replace each file name with a random number between 0 and the length of the file name, pass the result to echo, execute the command, and replace each random number with the length of the file name.",`find . -type f | xargs | tr -d '\n' | sed -e "s/[^ ]* /\$(( RANDOM %& ))/g" | xargs -I {} echo {} | sh | sed -e "s/[^ ]* /\${#}\n/g"`
Sort the contents of the /etc/passwd file in a random order and output the result to the standard output stream (stdout).,cat <(sort <(shuf /etc/passwd))
Unzip the first randomly selected file with the ".gz" extension.,tar -xvzf $(ls *.gz | shuf -n 1)
&+_?!-^@X#y6q2F3f9K8H7h5U4m1R0TcS,echo $(cat /dev/urandom | tr -dc 'a-zA-Z0-9#@&+^?!-_' | fold -w 32 | head -n 1)
echo ${BASH_REMATCH[5]},echo ${BASH_REMATCH[`shuf -i1-10 -n1`]}
Print the first group name in a random order from the /etc/group file.,sort -R /etc/group | head -n1 | cut -d: -f1
Find all files with the extension .conf and use xargs to run the sed command to replace any 4 digit numbers with a random 4 digit number.,find . -name '*.conf' | xargs sed -i 's/[0-9]\{4\}/`expr $RANDOM % 10000`/g'
Uncompress the file sample.bz2 and display the first 10 lines.,bzip2 -cd sample.bz2 | head -n 10
Find any file in the current directory whose name ends with a random number.,find ~ -name "*$(od -A n -t d -N 1 /dev/urandom | tr -d ' ')"
Find all files with the extension ".jpg" in the entire file system and execute the command "wget -q" on each of them.,find / -name "*.jpg" -exec wget -q {} \;
Find all files with the extension ".jpg" (case insensitive) and execute the command "rm -fv" on each of them.,find . -iname '*.jpg' -exec rm -fv {} \;
Print a random string of 50 characters composed of letters and numbers from the /dev/urandom file.,`echo $(cat /dev/urandom | tr -cd 'a-zA-Z0-9' | head -c50)`
"Sort the file ARGV[1] using a comma ("","") as the field separator and a random column number between 1 and 7 as the sort key.","awk -F "","" 'BEGIN {srand(); printf(""sort -t, -k %d %s\n"", int(rand() * 7 + 1), ARGV[1]); }'"
"Find any file in the current directory (and its subdirectories) whose name does not contain a space, then randomly select one of those files and delete it.",find . -iname "*[^ ]*" | awk 'BEGIN {srand(); print int(rand()*NR)+1}' | xargs rm
"Find all files with a "".txt"" extension in the current directory and its subdirectories, and count the number of lines containing the string ""string"".",find . -type f -name "*.txt" | xargs grep -ci 'string'
Search the entire file system for any file with a name that contains a lowercase letter and delete it.,find / -name "*.[a-z]*" -exec rm -f {} \;
Search the file /etc/passwd for a random string of 32 characters composed of letters and numbers without displaying the results.,grep -q -r "`head /dev/urandom | tr -dc A-Za-z0-9 | head -c 32`" /etc/passwd
Sort the output of the command "ls -1 |shuf" using the tab character as the delimiter and the third field as the key for sorting in numerical order.,"sort -t$'\t' -nk3,3 <(ls -1 |shuf)"
Search for a random 16-character alphanumeric string in the file foo.txt.,grep $(cat /dev/urandom | tr -dc '[:alpha:]' | head -c 16) foo.txt
Find all files (type f) with any name (name '*.*') and execute a command (exec) to replace any numbers (sed -i -e 's/[0-9]*/$(echo $(shuf -i1-1000 -n1))/g') in the file with a random number between 1 and 1000 (shuf -i1-1000 -n1).,find . -type f -name '*.*' -exec sed -i -e 's/[0-9]*/$(echo $(shuf -i1-1000 -n1))/g' {} \;
"paste <(cut -d ' ' -f3-) <(basename $(echo $(ls *.bz2 | cut -d _ -f 1)))

Take the third field of each line, and combine it with the base name of each file in the list of files ending in "".bz2"", separated by an underscore.",paste <(cut -d ' ' -f3-) <(basename $(echo $(ls *.bz2 | cut -d _ -f 1)))
"Take one random directory from the list of directories, extract the last three characters, reverse them, and count the number of lines in the corresponding file.",shuf -n 1 $(ls -d */) | sed -E 's/.*(.{3})$/\1/' | rev | xargs wc -l
Find all files (-type f) and execute a command (sed -i 's/oldword/newword/g') on each of them (+),find * -type f -exec sed -i 's/oldword/newword/g' {} +;
Replace all occurrences of two consecutive alphanumeric characters in file.txt with the second character followed by the first character.,sed -i "s#\([A-Za-z0-9]\+\)\([A-Za-z0-9]\+\)#\2\1#g" file.txt
V6X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3X3,echo $(cat /dev/urandom | tr -dc "A-Za-z0-9" | fold -w 50 | head -n 1)
Print all numbers from a random number between 0 and 99 up to 100000.,awk 'BEGIN{for (i=int(rand()*100);i<100000;i++){print i}}'
Find all files (-type f) and execute the command (sed -i 's/"$2"/"$3"/g') on each of them (+).,find -type f -exec sed -i 's/"$2"/"$3"/g' {} +
"Find all files and directories in the current directory and its subdirectories, and change their permissions to 644.",find . -regex '.*/.*\.*' -exec chmod 644 {} \;
echo awk sort tr head cat grep xargs tail sed,"awk -F' ' 'BEGIN {srand(); OFS=""""; for(i=1;i<= NF;i++){printf (""%s "", substr(""/bin/sed/head/grep/tail/echo/awk/sort/tr/cat/xargs"",rand()*9*7+1,6))}}'"
"Randomly sort the contents of the /dev/urandom file, take the first line, and keep only alphanumeric characters.",sort -R /dev/urandom | head -n1 | tr -cd "[:alnum:]"
Extract the first randomly selected file in the current directory using the tar command.,tar -xzf $( ls | sort -R | head -n1 );
"Ping the website www. followed by the first 10 characters of the output of the md5sum command run on the output of the date command, 2 times.",ping -c 2 "www.$(date | md5sum | cut -c1-10).com"
Search the file /dev/urandom and exclude any lines that contain a combination of numbers and letters.,grep -vF "[0-9]([A-Z]\?+\|[a-z]\?+)+" /dev/urandom
randomly select one word from the file /usr/share/dict/words and print it in lowercase.,shuf -n 1 /usr/share/dict/words | xargs -I {} echo {} | tr '[:upper:]' '[:lower:]'
A random character between the two random numbers.,echo $(echo {$RANDOM..$RANDOM}) | tr ' ' '\n' | sort -R | head -c1
Search recursively (-r) for lines (-n) containing any characters (.*) in all files in the directory ~/path/ and print the results (| xargs echo -n).,grep -rn '.*' ~/path/* | xargs echo -n
"Randomly sort the contents of the /dev/urandom file, take the first line, and select the fifth word.",sort -R /dev/urandom | head -1 | cut -d ' ' -f5
Randomly select one of the text files in the /usr/lib directory and display the first line of it.,shuf -e `find /usr/lib -name "*.txt"` | head -n 1;
Print a random string of characters consisting of lowercase letters and numbers with a length of 32 characters.,echo $(cat /dev/urandom | tr -dc a-z0-9 | head -c${1:-32})
Randomly select one line from a file containing the command "echo" followed by a random string of 8 characters composed of alphanumeric characters and execute it.,shuf -n 1 <(echo "echo \"$(cat /dev/urandom | tr -dc 'A-Za-z0-9' | fold -w 8 | head -n 1024)\"") | sh
"Find all files in the current directory (maxdepth 1), execute a grep search for lines beginning with 'abc', copy the results to another directory.",find . -maxdepth 1 -type f -exec grep '^abc' {} + | xargs cp -t another_dir
"Print the contents of /dev/urandom starting from a random line between 1 and 1000, and print a random number of characters between 50 and 200.",tail -n +$(shuf -i 1-1000 -n 1) /dev/urandom | head -c $(shuf -i 50-200 -n 1)
Print one random word from the file /usr/share/dict/words.,shuf -n 1 /usr/share/dict/words | xargs -I% echo %
"Find all files in the current user's home directory and its subdirectories, and set the permissions to read and execute for all users.",find ~/. -type f -exec chmod -R 555 {} \;
"Find all files in the directory ~/dir1/dir2 that are not symbolic links, remove the newline characters, and for each file, echo the file name followed by a semicolon and then move the file to a new file with the same name followed by ""_old"".",find ~/dir1/dir2 -not -type l | tr -d '\\n' | xargs -I {} echo {}\;\ mv {} {}_old
"Randomly sort the contents of the file /proc/cpuinfo, then print the second field of each line (separated by a colon) with a width of 10 characters.",sort -R /proc/cpuinfo | awk -F':' '{ print $2 }' | xargs printf "%-10s"
7F2F9F9F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F,echo $(cat /dev/urandom | tr -dc '0-9A-F' | fold -w 64 | head -n 1)
Randomly select one of the files with a ".txt" extension in the current directory and display the last line of the file.,shuf -e $(find -name "*.txt") | tail -n 1
Print the first 20 bytes of random data from /dev/urandom in octal format without newlines.,head -c 20 /dev/urandom | od -t o1 | awk '{print $2}' | tr -d '\n'
"Replace all empty lines in the file /etc/hosts with a random string of 20 characters composed of letters and numbers from /dev/urandom, and create a backup of the original file with the extension .bak.",sed -i.bak 's/^$/$(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 20 | head -n 1)/' /etc/hosts
Find all files with the extension .jpg in the entire file system and delete them.,find / -type f -name '*.jpg' -exec rm -f {} \;
Find all files with the extension .mp4 in the entire system and copy them to the destination folder specified.,find / -name '*.mp4' | xargs -I {} cp {} /destination/to/copy/
Search for a 10 character alphanumeric string in the file ~/.bashrc that is preceded and followed by a tab and a carriage return.,grep $(echo -e "\t\r\t$(date +%s | md5sum | head -c 10)\t\r\n" | tr -cd [:alnum:]) ~/.bashrc
Find all files in the root directory and change the owner and group to "myuser" for each file.,find / -exec chown myuser:myuser {} \;
Randomly select a number between 1 and 100 and then print the output of the command "fortune" to the file descriptor 2 of the process with the selected number.,shuf -i 1-100 -n 1 | xargs -I % echo fortune | tee /proc/%/fd/2
Copy a randomly selected file from the current directory to the current directory.,cp $(ls * | sort -R | head -1) .
Display the contents of a randomly selected file in the Documents directory.,cat $(ls -1 ~/Documents | shuf | head -1)
Find the 101st file in the root directory with any name and any extension.,find / -name "*.*" | head -n 101 | tail -n 1
"Send a request to the website ""random.org"" to generate one random string of 8 characters, containing both upper and lower case letters, digits, and symbols, and return the result in plain text format.",curl -s https://www.random.org/strings/?num=1\&len=8\&digits=on\&upperalpha=on\&loweralpha=on\&unique=on\&format=plain\&rnd=new\&letter=on
"Find all files with the extension "".txt"" in the current directory and its subdirectories, and list them in reverse chronological order.",find ./ -name "*.txt" | xargs ls -ltr
Copy the last file in the current directory (in a random order) to the current directory.,cp $(echo $(ls -A | sort -R | tail -1)) ./
"Find all files in the current directory, shuffle them, take the last one, and list its contents in reverse chronological order.",find . -maxdepth 1 | shuf | tail -n 1 | xargs ls -ltr
"""%{,!-}9{}(.0aA""","echo $(cat /dev/urandom | tr -dc 'a-zA-Z0-9.,-!""%(){}' | fold -w $(shuf -i 10-40 -n 1) | head -n 1)"
"Find a file in the root directory, randomly shuffle it, and display the first one.",find / -type f | shuf | head -n1
Search recursively in the home directory for the string '$1' and print the second field of the output delimited by ':',grep -r '$1' ~/ | cut -d : -f2
"Find all files ending with "".sh"" that are not empty, then search for strings that contain at least three consecutive capital letters or start with at least three consecutive capital letters, then print the second and third fields of the output separated by a colon, and finally convert the output to uppercase.","find ~ -name ""*.sh"" -not -empty | xargs grep -E ""(([A-Z]{3,}.*\w+)|(\w+.*[A-Z]{3,}))"" | cut -d "":"" -f2,3 | awk '{ print toupper($0) }'"
Print a random integer between 1 and 10000 (inclusive).,awk -v min=1 -v max=10000 'BEGIN{srand(); print int(min+rand()*(max-min+1))}'
"Find all files with a "".txt"" extension, print the file name, sort the file names, and then print the first 1024 characters of each file.",find . -iname "*.txt" -printf '%f\n' | sort | xargs head -c1024
"Find a file with any combination of letters, numbers, or symbols, sort the results randomly, and display the first one.",find . -name '[A-Za-z0-9]*' | sort -R | head -n 1
"Display the contents of the file with the largest size in the current directory, chosen randomly.",cat $(ls -S1 | sort -R | head -n1)
Find all files with the extension ".sh" and execute the command "chmod +x" on each of them.,find . -name *.sh -exec chmod +x {} \;
echo random5f9f9f9f9f9f9f9f9f9f,echo ${RANDOM}$(echo $(cut -c2-7 /dev/urandom |head -c20))
Print a random word from the /usr/share/dict/words file and echo it.,shuf -n 1 /usr/share/dict/words | xargs -I{} echo "echo {}" | sh
"Find all files in the current directory, print them out, and move them to the /tmp directory.",find . -type f  -print0 | xargs -0 -I {} mv "{}" "/tmp/{}"
"""V#<_@[-^]_3","echo $(cat /dev/urandom | tr -dc 'A-Za-z0-9!""#$%&'\''()*+,-./:;<=>?@[\]^_`{|}~' | head -c 15)"
Find all files in the current directory and its subdirectories whose names end with ".conf" and sort them randomly.,find ~/* -name "*.conf" | sort -R
"echo 'Hi, my number is %s' where %s is a random number between 10 and 20","shuf -i 10-20 -n 1 | xargs printf ""echo 'Hi, my number is %s'\n"""
Find a file with a name that starts with a random 8-character string generated by the md5sum command.,find -name "$(echo $RANDOM|md5sum|cut -c1-8).*"
Print the first line of a randomly sorted output of the /dev/urandom file.,echo "$(sort --random-sort /dev/urandom | head --lines=1)"
Find all files in the /etc directory with the name ".example" and move them to the ~/Downloads/ directory.,find /etc -name ".example" -exec mv {} ~/Downloads/ \;
"echo ""ls -l $(echo $(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 32 | head -n 1))""

List the contents of a randomly generated 32 character string.",echo "ls -l $(echo $(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 32 | head -n 1))"
"
25862",echo "$(shuf -i 1000-50000 -n 1)"
Count the number of files in the /tmp directory with the extension .log (case insensitive).,find /tmp -iname '*.log' | wc -l
Set the environment variable to a random string of 200 characters composed of letters and hyphens.,env -S $(sort -R /dev/urandom | tr -cd '[a-zA-Z\-]' | head -n 200)
Find a word with 2 to 6 characters from the file /dev/urandom and display the first one.,"grep -oP '\w{{2,6}}' /dev/urandom | head -n 1"
Find all files with the extension ".log" in the entire file system and compress them into a file called "backup.tar".,find / -name *.log | xargs tar -cvf backup.tar
"Display the first line of the file /dev/urandom, convert the characters to only a-f, A-F, 0-9, fold the line to a width of 20 characters, and display the first line of the output.",head -n1 /dev/urandom | tr -cd 'a-fA-F0-9' | fold -w20 | head -1
Search recursively for files containing the string 'test' and list their names.,grep -Rl 'test' *;
G@%&*_+#y6#y#y#y#y#y#y#y#y#y,echo "$(cat /dev/urandom | tr -dc 'a-zA-Z0-9@#$%&*_+' | fold -w 28 | head -n 1)"
Create a compressed tar archive of all files modified in the last 24 hours in the current directory and save it to a temporary file.,tar zcvf $(mktemp -u) $(find . -mtime 0 -type f)
"Randomly select one file from the list of files in the current directory, then download it using curl.",shuf -e $(ls) | head -n1 | xargs curl -O
Print a random word from the /usr/share/dict/words file using figlet.,shuf -n 1 /usr/share/dict/words | xargs printf "echo \"%s\" | figlet"
Create a compressed tar file containing all the files ending with .dat in the current directory and name it with the same name as the files but with the extension .tgz.,tar -cvzf $(echo *).tgz $(echo *).dat
Replace all sequences of four alphanumeric characters with the string "Y@4#" in-place.,sed -i -r 's/[a-zA-Z0-9]{4}/Y@4#/'
"Find all files in the current directory (denoted by ~/*) with a "".txt"" extension, and execute the command ""sed -i '/#/d' {} +"" on each of them.",find ~/* -name "*.txt" -exec sed -i '/#/d' {} +;
"Find all PDF files in the current directory and its subdirectories (up to 3 levels deep), randomly sort them, and display the first one.",find ~ -mindepth 1 -maxdepth 3 -iname "*.pdf" \| sort -R \| head -n1
Create a compressed archive called test.tar containing all files with the .txt extension in the current directory and its subdirectories.,tar -czvf test.tar $(find -name "*.txt")
"Find all files in the current directory and its subdirectories, and for each one, move it to a new file with the same name but with the first three characters of the name rotated by 13 places in the alphabet, unless the file already exists.",find . -name "*" -exec mv -n {} | head -c 3 {}.rot13 ;
